RS:1000:rear_sus,FS:1000:front_sus,RB:250:test2,FB:250:test3
485,616
0.51,-9.93,1.82,-0.01,0.02,0.01,488,633,0.0,0.0
0.43,-9.88,1.85,-0.02,0.02,0.00,488,622,0.0,0.0
0.43,-9.97,1.92,0.02,0.03,0.01,489,617,0.0,0.0
0.41,-9.93,1.85,0.00,0.02,0.00,488,615,0.0,0.0
0.42,-9.94,1.85,0.02,0.02,-0.01,488,613,0.0,0.0
0.52,-9.82,1.81,-0.00,0.02,0.01,488,612,0.0,0.0
0.49,-9.78,1.81,-0.01,0.02,0.01,488,609,0.0,0.0
0.49,-9.86,1.79,-0.01,0.02,0.00,488,607,0.0,0.0
0.42,-9.90,1.87,-0.01,0.02,-0.01,488,610,0.0,0.0
0.42,-9.93,1.86,0.01,0.02,0.00,489,609,0.0,0.0
0.52,-9.87,1.81,0.00,0.02,0.00,489,609,0.0,0.0
0.55,-9.78,1.80,-0.00,0.01,-0.01,488,607,0.0,0.0
0.48,-9.81,1.80,0.01,0.02,0.00,488,606,0.0,0.0
0.38,-9.78,1.83,-0.00,0.02,-0.00,489,605,0.0,0.0
0.48,-9.84,1.88,0.00,0.01,-0.01,488,604,0.0,0.0
0.50,-9.93,1.84,0.01,0.02,-0.01,489,606,0.0,0.0
0.54,-9.96,1.83,0.01,0.01,-0.02,489,605,0.0,0.0
0.52,-9.95,1.83,0.02,0.01,-0.01,488,605,0.0,0.0
0.44,-9.85,1.88,0.01,0.01,-0.03,488,605,0.0,0.0
0.51,-9.79,1.86,-0.00,0.00,-0.02,488,605,0.0,0.0
0.55,-9.86,1.88,-0.00,-0.01,-0.02,489,604,0.0,0.0
0.54,-9.89,1.88,-0.01,-0.01,-0.02,488,605,0.0,0.0
0.55,-9.92,1.92,-0.01,-0.00,-0.01,488,625,0.0,0.0
0.53,-10.05,1.73,0.01,-0.00,-0.03,488,614,0.0,0.0
0.47,-9.90,2.08,-0.01,-0.01,-0.02,488,613,0.0,0.0
0.52,-9.95,1.75,0.01,-0.02,-0.02,488,612,0.0,0.0
0.65,-9.77,1.86,0.00,-0.02,-0.01,489,609,0.0,0.0
0.65,-9.83,1.86,-0.00,-0.01,-0.03,488,627,0.0,0.0
0.67,-9.90,1.72,-0.00,-0.01,-0.01,488,617,0.0,0.0
0.54,-9.93,1.93,-0.03,-0.00,-0.04,488,612,0.0,0.0
0.65,-9.94,1.94,0.00,-0.02,-0.01,488,610,0.0,0.0
0.63,-9.86,1.94,0.01,-0.04,-0.03,488,609,0.0,0.0
0.81,-9.84,1.90,0.03,-0.03,-0.04,488,610,0.0,0.0
0.79,-9.87,1.86,0.01,-0.02,-0.02,488,606,0.0,0.0
0.71,-9.76,1.91,0.01,-0.00,-0.03,488,629,0.0,0.0
0.70,-9.85,1.90,-0.00,-0.00,-0.03,488,619,0.0,0.0
0.73,-10.02,2.00,-0.01,-0.03,-0.04,488,616,0.0,0.0
